,exp,data type,label,time,data
303,UMSTBG1d,behavior,whisk,30.3,1.938948154
304,UMSTBG1d,behavior,whisk,30.4,1.877870202
305,UMSTBG1d,behavior,whisk,30.5,1.4265064
306,UMSTBG1d,behavior,whisk,30.6,1.852691293
307,UMSTBG1d,behavior,whisk,30.7,1.267432332
308,UMSTBG1d,behavior,whisk,30.8,1.857043624
309,UMSTBG1d,behavior,whisk,30.9,2.34935832
310,UMSTBG1d,behavior,whisk,31,1.877799511
311,UMSTBG1d,behavior,whisk,31.1,1.194410324
312,UMSTBG1d,behavior,whisk,31.2,1.242508531
313,UMSTBG1d,behavior,whisk,31.3,1.664588809
314,UMSTBG1d,behavior,whisk,31.4,1.224010944
315,UMSTBG1d,behavior,whisk,31.5,1.270645142
316,UMSTBG1d,behavior,whisk,31.6,1.326127052
317,UMSTBG1d,behavior,whisk,31.7,0.808040321
318,UMSTBG1d,behavior,whisk,31.8,1.592558861
319,UMSTBG1d,behavior,whisk,31.9,0.635178089
320,UMSTBG1d,behavior,whisk,32,1.392589211
321,UMSTBG1d,behavior,whisk,32.1,0.770729363
322,UMSTBG1d,behavior,whisk,32.2,1.156409025
323,UMSTBG1d,behavior,whisk,32.3,0.596424758
324,UMSTBG1d,behavior,whisk,32.4,0.493492723
325,UMSTBG1d,behavior,whisk,32.5,0.453938335
326,UMSTBG1d,behavior,whisk,32.6,0.446567982
327,UMSTBG1d,behavior,whisk,32.7,0.209828258
328,UMSTBG1d,behavior,whisk,32.8,0.459079951
329,UMSTBG1d,behavior,whisk,32.9,0.149774402
330,UMSTBG1d,behavior,whisk,33,0.185196042
331,UMSTBG1d,behavior,whisk,33.1,0.220439747
332,UMSTBG1d,behavior,whisk,33.2,0.162059918
333,UMSTBG1d,behavior,whisk,33.3,0.829648674
334,UMSTBG1d,behavior,whisk,33.4,0.428958178
335,UMSTBG1d,behavior,whisk,33.5,0.33759287
336,UMSTBG1d,behavior,whisk,33.6,0.204808638
337,UMSTBG1d,behavior,whisk,33.7,0.290032893
338,UMSTBG1d,behavior,whisk,33.8,0.78293103
339,UMSTBG1d,behavior,whisk,33.9,0.199289158
340,UMSTBG1d,behavior,whisk,34,0.184957564
341,UMSTBG1d,behavior,whisk,34.1,0.187757179
342,UMSTBG1d,behavior,whisk,34.2,0.186536133
343,UMSTBG1d,behavior,whisk,34.3,0.101441912
344,UMSTBG1d,behavior,whisk,34.4,0.089720696
345,UMSTBG1d,behavior,whisk,34.5,0.076116376
346,UMSTBG1d,behavior,whisk,34.6,0.057056915
347,UMSTBG1d,behavior,whisk,34.7,0.043060381
348,UMSTBG1d,behavior,whisk,34.8,0.084298871
349,UMSTBG1d,behavior,whisk,34.9,0.076433145
350,UMSTBG1d,behavior,whisk,35,0.070667662
351,UMSTBG1d,behavior,whisk,35.1,0.056274828
352,UMSTBG1d,behavior,whisk,35.2,0.045800362
353,UMSTBG1d,behavior,whisk,35.3,0.036061615
354,UMSTBG1d,behavior,whisk,35.4,0.038639776
355,UMSTBG1d,behavior,whisk,35.5,0.029433012
356,UMSTBG1d,behavior,whisk,35.6,0.048918474
357,UMSTBG1d,behavior,whisk,35.7,0.055325657
358,UMSTBG1d,behavior,whisk,35.8,0.035127163
359,UMSTBG1d,behavior,whisk,35.9,0.075908713
360,UMSTBG1d,behavior,whisk,36,0.033338439
361,UMSTBG1d,behavior,whisk,36.1,0.037557848
