,exp,data type,label,time,data
301,UMSTBG,behavior,whisk,30.1,0.048507154
302,UMSTBG,behavior,whisk,30.2,0.134750292
303,UMSTBG,behavior,whisk,30.3,0.134104326
304,UMSTBG,behavior,whisk,30.4,0.063378006
305,UMSTBG,behavior,whisk,30.5,0.053811848
306,UMSTBG,behavior,whisk,30.6,0.062715255
307,UMSTBG,behavior,whisk,30.7,0.046286386
308,UMSTBG,behavior,whisk,30.8,0.032301512
309,UMSTBG,behavior,whisk,30.9,0.027127212
310,UMSTBG,behavior,whisk,31,0.038584869
311,UMSTBG,behavior,whisk,31.1,0.043367501
312,UMSTBG,behavior,whisk,31.2,0.043107886
313,UMSTBG,behavior,whisk,31.3,0.058190871
314,UMSTBG,behavior,whisk,31.4,0.029724695
315,UMSTBG,behavior,whisk,31.5,0.040267568
316,UMSTBG,behavior,whisk,31.6,0.034784149
317,UMSTBG,behavior,whisk,31.7,0.066337921
318,UMSTBG,behavior,whisk,31.8,0.030689754
319,UMSTBG,behavior,whisk,31.9,0.063215636
320,UMSTBG,behavior,whisk,32,0.064964764
321,UMSTBG,behavior,whisk,32.1,0.045771766
322,UMSTBG,behavior,whisk,32.2,0.046955794
323,UMSTBG,behavior,whisk,32.3,0.039163038
324,UMSTBG,behavior,whisk,32.4,0.055622429
325,UMSTBG,behavior,whisk,32.5,0.04035743
326,UMSTBG,behavior,whisk,32.6,0.044953872
327,UMSTBG,behavior,whisk,32.7,0.049630523
328,UMSTBG,behavior,whisk,32.8,0.045859765
329,UMSTBG,behavior,whisk,32.9,0.036299318
330,UMSTBG,behavior,whisk,33,0.032746851
331,UMSTBG,behavior,whisk,33.1,0.031975705
332,UMSTBG,behavior,whisk,33.2,0.073318601
333,UMSTBG,behavior,whisk,33.3,0.077566832
334,UMSTBG,behavior,whisk,33.4,0.045449268
335,UMSTBG,behavior,whisk,33.5,0.044253636
336,UMSTBG,behavior,whisk,33.6,0.036579311
337,UMSTBG,behavior,whisk,33.7,0.030146865
338,UMSTBG,behavior,whisk,33.8,0.033365671
339,UMSTBG,behavior,whisk,33.9,0.089850575
340,UMSTBG,behavior,whisk,34,0.045304786
341,UMSTBG,behavior,whisk,34.1,0.055927519
342,UMSTBG,behavior,whisk,34.2,0.037775029
343,UMSTBG,behavior,whisk,34.3,0.026104584
344,UMSTBG,behavior,whisk,34.4,0.046064395
345,UMSTBG,behavior,whisk,34.5,0.033559185
346,UMSTBG,behavior,whisk,34.6,0.081607156
347,UMSTBG,behavior,whisk,34.7,0.040352773
348,UMSTBG,behavior,whisk,34.8,0.046441365
349,UMSTBG,behavior,whisk,34.9,0.049149469
350,UMSTBG,behavior,whisk,35,0.044923544
351,UMSTBG,behavior,whisk,35.1,0.029037997
352,UMSTBG,behavior,whisk,35.2,0.038310498
353,UMSTBG,behavior,whisk,35.3,0.043358337
354,UMSTBG,behavior,whisk,35.4,0.05097257
355,UMSTBG,behavior,whisk,35.5,0.037359819
356,UMSTBG,behavior,whisk,35.6,0.034360942
357,UMSTBG,behavior,whisk,35.7,0.049052224
358,UMSTBG,behavior,whisk,35.8,0.031300399
359,UMSTBG,behavior,whisk,35.9,0.077561207
360,UMSTBG,behavior,whisk,36,0.05911256
361,UMSTBG,behavior,whisk,36.1,0.057755601
362,UMSTBG,behavior,whisk,36.2,0.038111642
363,UMSTBG,behavior,whisk,36.3,0.040284928
364,UMSTBG,behavior,whisk,36.4,0.035870239
365,UMSTBG,behavior,whisk,36.5,0.061303716
366,UMSTBG,behavior,whisk,36.6,0.049323499
367,UMSTBG,behavior,whisk,36.7,0.052919745
368,UMSTBG,behavior,whisk,36.8,0.045641407
369,UMSTBG,behavior,whisk,36.9,0.051551927
370,UMSTBG,behavior,whisk,37,0.051663447
371,UMSTBG,behavior,whisk,37.1,0.030424172
372,UMSTBG,behavior,whisk,37.2,0.054430585
373,UMSTBG,behavior,whisk,37.3,0.034571826
374,UMSTBG,behavior,whisk,37.4,0.056177888
375,UMSTBG,behavior,whisk,37.5,0.025407903
376,UMSTBG,behavior,whisk,37.6,0.047809482
377,UMSTBG,behavior,whisk,37.7,0.061297521
378,UMSTBG,behavior,whisk,37.8,0.047811504
379,UMSTBG,behavior,whisk,37.9,0.053264201
380,UMSTBG,behavior,whisk,38,0.088802449
381,UMSTBG,behavior,whisk,38.1,0.065681823
382,UMSTBG,behavior,whisk,38.2,0.028771633
383,UMSTBG,behavior,whisk,38.3,0.062269393
384,UMSTBG,behavior,whisk,38.4,0.028861305
385,UMSTBG,behavior,whisk,38.5,0.026002163
386,UMSTBG,behavior,whisk,38.6,0.044509541
387,UMSTBG,behavior,whisk,38.7,0.054583658
388,UMSTBG,behavior,whisk,38.8,0.050129104
389,UMSTBG,behavior,whisk,38.9,0.039460238
390,UMSTBG,behavior,whisk,39,0.045444783
391,UMSTBG,behavior,whisk,39.1,0.031918459
392,UMSTBG,behavior,whisk,39.2,0.053460244
393,UMSTBG,behavior,whisk,39.3,0.044101331
394,UMSTBG,behavior,whisk,39.4,0.034409422
395,UMSTBG,behavior,whisk,39.5,0.040021028
396,UMSTBG,behavior,whisk,39.6,0.035259139
397,UMSTBG,behavior,whisk,39.7,0.030996144
398,UMSTBG,behavior,whisk,39.8,0.041936416
399,UMSTBG,behavior,whisk,39.9,0.056069095
400,UMSTBG,behavior,whisk,40,0.06455221
401,UMSTBG,behavior,whisk,40.1,0.042525306
402,UMSTBG,behavior,whisk,40.2,0.03661333
403,UMSTBG,behavior,whisk,40.3,0.03471886
404,UMSTBG,behavior,whisk,40.4,0.039103936
405,UMSTBG,behavior,whisk,40.5,0.032249942
406,UMSTBG,behavior,whisk,40.6,0.023450956
407,UMSTBG,behavior,whisk,40.7,0.069235958
408,UMSTBG,behavior,whisk,40.8,0.437560886
409,UMSTBG,behavior,whisk,40.9,0.157767832
410,UMSTBG,behavior,whisk,41,0.442879587
411,UMSTBG,behavior,whisk,41.1,0.274329037
412,UMSTBG,behavior,whisk,41.2,0.181821302
413,UMSTBG,behavior,whisk,41.3,0.325061858
414,UMSTBG,behavior,whisk,41.4,0.141939178
415,UMSTBG,behavior,whisk,41.5,0.101496197
416,UMSTBG,behavior,whisk,41.6,0.317429841
417,UMSTBG,behavior,whisk,41.7,0.181853727
418,UMSTBG,behavior,whisk,41.8,0.107474506
419,UMSTBG,behavior,whisk,41.9,0.116586059
420,UMSTBG,behavior,whisk,42,0.147428587
421,UMSTBG,behavior,whisk,42.1,0.0827538
422,UMSTBG,behavior,whisk,42.2,0.050659627
423,UMSTBG,behavior,whisk,42.3,0.055637326
424,UMSTBG,behavior,whisk,42.4,0.068586402
425,UMSTBG,behavior,whisk,42.5,0.091910839
426,UMSTBG,behavior,whisk,42.6,0.088762105
427,UMSTBG,behavior,whisk,42.7,0.043528795
428,UMSTBG,behavior,whisk,42.8,0.031798583
429,UMSTBG,behavior,whisk,42.9,0.05472837
430,UMSTBG,behavior,whisk,43,0.075531073
431,UMSTBG,behavior,whisk,43.1,0.066066444
432,UMSTBG,behavior,whisk,43.2,0.125922084
433,UMSTBG,behavior,whisk,43.3,0.047599211
434,UMSTBG,behavior,whisk,43.4,0.030763537
435,UMSTBG,behavior,whisk,43.5,0.082959272
436,UMSTBG,behavior,whisk,43.6,0.057599735
437,UMSTBG,behavior,whisk,43.7,0.064145379
438,UMSTBG,behavior,whisk,43.8,0.079063781
439,UMSTBG,behavior,whisk,43.9,0.088981561
440,UMSTBG,behavior,whisk,44,0.06855946
441,UMSTBG,behavior,whisk,44.1,0.071688004
442,UMSTBG,behavior,whisk,44.2,0.042360738
443,UMSTBG,behavior,whisk,44.3,0.062675498
444,UMSTBG,behavior,whisk,44.4,0.09369614
445,UMSTBG,behavior,whisk,44.5,0.070843197
446,UMSTBG,behavior,whisk,44.6,0.098016262
447,UMSTBG,behavior,whisk,44.7,0.083260618
448,UMSTBG,behavior,whisk,44.8,0.096652918
449,UMSTBG,behavior,whisk,44.9,0.067852266
450,UMSTBG,behavior,whisk,45,0.08269047
451,UMSTBG,behavior,whisk,45.1,0.079920858
452,UMSTBG,behavior,whisk,45.2,0.06391257
453,UMSTBG,behavior,whisk,45.3,0.072761871
454,UMSTBG,behavior,whisk,45.4,0.047732908
455,UMSTBG,behavior,whisk,45.5,0.054487884
456,UMSTBG,behavior,whisk,45.6,0.045212563
457,UMSTBG,behavior,whisk,45.7,0.064372659
458,UMSTBG,behavior,whisk,45.8,0.054588944
459,UMSTBG,behavior,whisk,45.9,0.052226242
460,UMSTBG,behavior,whisk,46,0.06094588
461,UMSTBG,behavior,whisk,46.1,0.04841366
462,UMSTBG,behavior,whisk,46.2,0.287487388
463,UMSTBG,behavior,whisk,46.3,0.258715302
464,UMSTBG,behavior,whisk,46.4,1.229961991
465,UMSTBG,behavior,whisk,46.5,1.334712863
466,UMSTBG,behavior,whisk,46.6,0.5040043
467,UMSTBG,behavior,whisk,46.7,0.665313482
468,UMSTBG,behavior,whisk,46.8,1.274263144
469,UMSTBG,behavior,whisk,46.9,1.187431455
470,UMSTBG,behavior,whisk,47,0.64092201
471,UMSTBG,behavior,whisk,47.1,1.735654235
472,UMSTBG,behavior,whisk,47.2,0.748063088
473,UMSTBG,behavior,whisk,47.3,0.628503621
474,UMSTBG,behavior,whisk,47.4,0.956307411
475,UMSTBG,behavior,whisk,47.5,0.155331418
476,UMSTBG,behavior,whisk,47.6,0.504440069
477,UMSTBG,behavior,whisk,47.7,0.520184696
478,UMSTBG,behavior,whisk,47.8,0.322031021
479,UMSTBG,behavior,whisk,47.9,0.165154249
480,UMSTBG,behavior,whisk,48,0.682215512
481,UMSTBG,behavior,whisk,48.1,1.040413618
482,UMSTBG,behavior,whisk,48.2,1.184619069
483,UMSTBG,behavior,whisk,48.3,1.077385068
484,UMSTBG,behavior,whisk,48.4,0.53404665
485,UMSTBG,behavior,whisk,48.5,0.355980963
486,UMSTBG,behavior,whisk,48.6,0.436766982
487,UMSTBG,behavior,whisk,48.7,0.6214872
488,UMSTBG,behavior,whisk,48.8,0.941703022
489,UMSTBG,behavior,whisk,48.9,1.246984482
490,UMSTBG,behavior,whisk,49,1.085528851
491,UMSTBG,behavior,whisk,49.1,1.502479911
492,UMSTBG,behavior,whisk,49.2,0.63890928
493,UMSTBG,behavior,whisk,49.3,0.993474066
494,UMSTBG,behavior,whisk,49.4,1.644034386
495,UMSTBG,behavior,whisk,49.5,1.723800302
496,UMSTBG,behavior,whisk,49.6,2.328066826
497,UMSTBG,behavior,whisk,49.7,1.263172746
498,UMSTBG,behavior,whisk,49.8,2.162925482
499,UMSTBG,behavior,whisk,49.9,2.782789469
500,UMSTBG,behavior,whisk,50,0.96509862
501,UMSTBG,behavior,whisk,50.1,2.683255911
502,UMSTBG,behavior,whisk,50.2,2.432712078
503,UMSTBG,behavior,whisk,50.3,0.970639229
504,UMSTBG,behavior,whisk,50.4,1.009335637
505,UMSTBG,behavior,whisk,50.5,1.175567985
506,UMSTBG,behavior,whisk,50.6,0.839215219
507,UMSTBG,behavior,whisk,50.7,1.792726636
508,UMSTBG,behavior,whisk,50.8,1.709737182
509,UMSTBG,behavior,whisk,50.9,1.171514511
510,UMSTBG,behavior,whisk,51,1.093066335
511,UMSTBG,behavior,whisk,51.1,0.824514568
512,UMSTBG,behavior,whisk,51.2,1.020753264
513,UMSTBG,behavior,whisk,51.3,0.796673954
514,UMSTBG,behavior,whisk,51.4,1.486233711
515,UMSTBG,behavior,whisk,51.5,1.601444244
516,UMSTBG,behavior,whisk,51.6,2.191536188
517,UMSTBG,behavior,whisk,51.7,1.31342411
518,UMSTBG,behavior,whisk,51.8,1.308278441
